date	adjclose__DJI
03jan2000	
04jan2000	10997.9296875
05jan2000	11122.650390625
06jan2000	11253.259765625
07jan2000	11522.5595703125
10jan2000	11572.2001953125
11jan2000	11511.080078125
12jan2000	11551.099609375
13jan2000	11582.4296875
14jan2000	11722.98046875
18jan2000	11560.7197265625
19jan2000	11489.3603515625
20jan2000	11351.2998046875
21jan2000	11251.7099609375
24jan2000	11008.169921875
25jan2000	11029.8896484375
26jan2000	11032.990234375
27jan2000	11028.01953125
28jan2000	10738.8701171875
31jan2000	10940.5302734375
01feb2000	11041.0498046875
02feb2000	11003.2001953125
03feb2000	11013.4404296875
04feb2000	10963.7998046875
07feb2000	10905.7900390625
08feb2000	10957.599609375
09feb2000	10699.16015625
10feb2000	10643.6298828125
11feb2000	10425.2099609375
14feb2000	10519.83984375
15feb2000	10718.08984375
16feb2000	10561.41015625
17feb2000	10514.5703125
18feb2000	10219.51953125
22feb2000	10304.83984375
23feb2000	10225.73046875
24feb2000	10092.6298828125
25feb2000	9862.1201171875
28feb2000	10038.650390625
29feb2000	10128.3095703125
01mar2000	10137.9296875
02mar2000	10164.919921875
03mar2000	10367.2001953125
06mar2000	10170.5
07mar2000	9796.0302734375
08mar2000	9856.5302734375
09mar2000	10010.73046875
10mar2000	9928.8203125
13mar2000	9947.1298828125
14mar2000	9811.240234375
15mar2000	10131.41015625
16mar2000	10630.599609375
17mar2000	10595.23046875
20mar2000	10680.240234375
21mar2000	10907.33984375
22mar2000	10866.7001953125
23mar2000	11119.8603515625
24mar2000	11112.7197265625
27mar2000	11025.849609375
28mar2000	10936.1103515625
29mar2000	11018.7197265625
30mar2000	10980.25
31mar2000	10921.919921875
03apr2000	11221.9296875
04apr2000	11164.83984375
05apr2000	11033.919921875
06apr2000	11114.26953125
07apr2000	11111.48046875
10apr2000	11186.5595703125
11apr2000	11287.080078125
12apr2000	11125.1298828125
13apr2000	10923.5498046875
14apr2000	10305.76953125
17apr2000	10582.509765625
18apr2000	10767.419921875
19apr2000	10674.9599609375
20apr2000	10844.0498046875
24apr2000	10906.099609375
25apr2000	11124.8203125
26apr2000	10945.5
27apr2000	10888.099609375
28apr2000	10733.91015625
01may2000	10811.7802734375
02may2000	10731.1201171875
03may2000	10480.1298828125
04may2000	10412.490234375
05may2000	10577.8603515625
08may2000	10603.6298828125
09may2000	10536.75
10may2000	10367.7802734375
11may2000	10545.9697265625
12may2000	10609.3701171875
15may2000	10807.7802734375
16may2000	10934.5703125
17may2000	10769.740234375
18may2000	10777.2802734375
19may2000	10626.849609375
22may2000	10542.5498046875
23may2000	10422.26953125
24may2000	10535.349609375
25may2000	10323.919921875
26may2000	10299.240234375
30may2000	10527.1298828125
31may2000	10522.330078125
01jun2000	10652.2001953125
02jun2000	10794.759765625
05jun2000	10815.2998046875
06jun2000	10735.5703125
07jun2000	10812.8603515625
08jun2000	10668.7197265625
09jun2000	10614.0595703125
12jun2000	10564.2099609375
13jun2000	10621.83984375
14jun2000	10687.9501953125
15jun2000	10714.8203125
16jun2000	10449.2998046875
19jun2000	10557.83984375
20jun2000	10435.16015625
21jun2000	10497.740234375
22jun2000	10376.1201171875
23jun2000	10404.75
26jun2000	10542.990234375
27jun2000	10504.4599609375
28jun2000	10527.7900390625
29jun2000	10398.0400390625
30jun2000	10447.8896484375
03jul2000	10560.669921875
05jul2000	10483.599609375
06jul2000	10481.4697265625
07jul2000	10635.98046875
10jul2000	10646.580078125
11jul2000	10727.1904296875
12jul2000	10783.759765625
13jul2000	10788.7099609375
14jul2000	10812.75
17jul2000	10804.26953125
18jul2000	10739.919921875
19jul2000	10696.080078125
20jul2000	10843.8701171875
21jul2000	10733.5595703125
24jul2000	10685.1201171875
25jul2000	10699.9697265625
26jul2000	10516.48046875
27jul2000	10586.1298828125
28jul2000	10511.169921875
31jul2000	10521.98046875
01aug2000	10606.9501953125
02aug2000	10687.5302734375
03aug2000	10706.580078125
04aug2000	10767.75
