countryname	countrycode	iso2code	region	regioncode	year	CPI
United States	USA	US	North America	NAC	1960	13.572166
United States	USA	US	North America	NAC	1961	13.718091
United States	USA	US	North America	NAC	1962	13.871195
United States	USA	US	North America	NAC	1963	14.039609
United States	USA	US	North America	NAC	1964	14.223333
United States	USA	US	North America	NAC	1965	14.460645
United States	USA	US	North America	NAC	1966	14.893163
United States	USA	US	North America	NAC	1967	15.306542
United States	USA	US	North America	NAC	1968	15.952129
United States	USA	US	North America	NAC	1969	16.815889
United States	USA	US	North America	NAC	1970	17.807236
United States	USA	US	North America	NAC	1971	18.5651
United States	USA	US	North America	NAC	1972	19.178789
United States	USA	US	North America	NAC	1973	20.371723
United States	USA	US	North America	NAC	1974	22.619795
United States	USA	US	North America	NAC	1975	24.685419
United States	USA	US	North America	NAC	1976	26.101629
United States	USA	US	North America	NAC	1977	27.794701
United States	USA	US	North America	NAC	1978	29.92029
United States	USA	US	North America	NAC	1979	33.291122
United States	USA	US	North America	NAC	1980	37.788544
United States	USA	US	North America	NAC	1981	41.686634
United States	USA	US	North America	NAC	1982	44.254787
United States	USA	US	North America	NAC	1983	45.676445
United States	USA	US	North America	NAC	1984	47.648418
United States	USA	US	North America	NAC	1985	49.345234
United States	USA	US	North America	NAC	1986	50.262432
United States	USA	US	North America	NAC	1987	52.142689
United States	USA	US	North America	NAC	1988	54.233135
United States	USA	US	North America	NAC	1989	56.850971
United States	USA	US	North America	NAC	1990	59.919762
United States	USA	US	North America	NAC	1991	62.45734
United States	USA	US	North America	NAC	1992	64.34906
United States	USA	US	North America	NAC	1993	66.248421
United States	USA	US	North America	NAC	1994	67.975815
United States	USA	US	North America	NAC	1995	69.88282
United States	USA	US	North America	NAC	1996	71.931229
United States	USA	US	North America	NAC	1997	73.612755
United States	USA	US	North America	NAC	1998	74.755432
United States	USA	US	North America	NAC	1999	76.391106
United States	USA	US	North America	NAC	2000	78.970718
United States	USA	US	North America	NAC	2001	81.202568
United States	USA	US	North America	NAC	2002	82.490463
United States	USA	US	North America	NAC	2003	84.363075
United States	USA	US	North America	NAC	2004	86.621681
United States	USA	US	North America	NAC	2005	89.560532
United States	USA	US	North America	NAC	2006	92.449707
United States	USA	US	North America	NAC	2007	95.08699
United States	USA	US	North America	NAC	2008	98.73748
United States	USA	US	North America	NAC	2009	98.386421
United States	USA	US	North America	NAC	2010	100
United States	USA	US	North America	NAC	2011	103.15685
United States	USA	US	North America	NAC	2012	105.2915
United States	USA	US	North America	NAC	2013	106.83385
United States	USA	US	North America	NAC	2014	108.56693
United States	USA	US	North America	NAC	2015	108.69572
