date	PCECC96	daten	GDPC1	lnGDP	lnC	time	year
1951-01-01	1401.5	01jan1951	2304.5	7.742619	7.2452984	17	1951
1951-04-01	1361.9	01apr1951	2344.5	7.7598276	7.2166362	18	1951
1951-07-01	1377.7	01jul1951	2392.8	7.7802196	7.2281709	19	1951
1951-10-01	1385.8	01oct1951	2398.1	7.7824321	7.2340326	20	1951
1952-01-01	1388.9	01jan1952	2423.5	7.7929683	7.2362676	21	1952
1952-04-01	1416.1	01apr1952	2428.5	7.7950292	7.255662	22	1952
1952-07-01	1423	01jul1952	2446.1	7.8022504	7.2605224	23	1952
1952-10-01	1473.3	01oct1952	2526.4	7.8345509	7.29526	24	1952
1953-01-01	1490.8	01jan1953	2573.4	7.8529835	7.3070683	25	1953
1953-04-01	1499.8	01apr1953	2593.5	7.8607635	7.313087	26	1953
1953-07-01	1496.3	01jul1953	2578.9	7.8551183	7.3107505	27	1953
1953-10-01	1486.4	01oct1953	2539.8	7.8398404	7.3041124	28	1953
1954-01-01	1491.8	01jan1954	2528	7.8351836	7.3077388	29	1954
1954-04-01	1511.3	01apr1954	2530.7	7.8362513	7.3207254	30	1954
1954-07-01	1531.8	01jul1954	2559.4	7.847528	7.334199	31	1954
1954-10-01	1564	01oct1954	2609.3	7.8668375	7.3550019	32	1954
1955-01-01	1599.1	01jan1955	2683.8	7.894989	7.3771963	33	1955
1955-04-01	1629.7	01apr1955	2727.5	7.9111409	7.3961511	34	1955
1955-07-01	1649.8	01jul1955	2764.1	7.9244704	7.4084091	35	1955
1955-10-01	1670.5	01oct1955	2780.8	7.9304938	7.4208784	36	1955
1956-01-01	1673.2	01jan1956	2770	7.9266024	7.4224935	37	1956
1956-04-01	1678.8	01apr1956	2792.9	7.9348359	7.4258347	38	1956
1956-07-01	1682.6	01jul1956	2790.6	7.9340119	7.4280953	39	1956
1956-10-01	1705.8	01oct1956	2836.2	7.9502206	7.4417896	40	1956
1957-01-01	1717.5	01jan1957	2854.5	7.9566522	7.4486251	41	1957
1957-04-01	1720.5	01apr1957	2848.2	7.9544425	7.4503703	42	1957
1957-07-01	1734.1	01jul1957	2875.9	7.9641209	7.4582438	43	1957
1957-10-01	1734.9	01oct1957	2846.4	7.9538102	7.4587049	44	1957
1958-01-01	1711.1	01jan1958	2772.7	7.927577	7.4448919	45	1958
1958-04-01	1725.1	01apr1958	2790.9	7.9341192	7.4530401	46	1958
1958-07-01	1753.5	01jul1958	2855.5	7.9570022	7.4693689	47	1958
1958-10-01	1777.1	01oct1958	2922.3	7.9801264	7.482738	48	1958
1959-01-01	1809.4	01jan1959	2976.6	7.9985371	7.5007505	49	1959
1959-04-01	1837.3	01apr1959	3049	8.0225687	7.5160522	50	1959
1959-07-01	1856.5	01jul1959	3043.1	8.0206318	7.5264482	51	1959
1959-10-01	1858.6	01oct1959	3055.1	8.0245676	7.5275788	52	1959
1960-01-01	1876.3	01jan1960	3123.2	8.0466137	7.5370569	53	1960
1960-04-01	1900.1	01apr1960	3111.3	8.0427961	7.5496616	54	1960
1960-07-01	1892.5	01jul1960	3119.1	8.0452995	7.5456538	55	1960
