date	DJIA_returns
02jan1970	
05jan1970	
06jan1970	-.0094739618
07jan1970	-.0023045917
08jan1970	.00032422596
09jan1970	-.0049494808
12jan1970	
13jan1970	-.0031801891
14jan1970	-.0010792952
15jan1970	-.0026968534
16jan1970	-.0031129653
19jan1970	
20jan1970	.0022909404
21jan1970	.0056663025
22jan1970	.0048840051
23jan1970	-.013524448
26jan1970	
27jan1970	-.0063802297
28jan1970	-.0067637004
29jan1970	-.013920236
30jan1970	-.0057490771
02feb1970	
03feb1970	.014655517
04feb1970	-.0039287484
05feb1970	-.0056221853
06feb1970	.003339936
09feb1970	
10feb1970	-.012048242
11feb1970	.014229358
12feb1970	-.0022737617
13feb1970	-.0030618121
16feb1970	
17feb1970	-.0083537819
18feb1970	.012458356
19feb1970	.001478815
20feb1970	-.00060705689
24feb1970	
25feb1970	.018205069
26feb1970	-.0049976511
27feb1970	.017042791
02mar1970	
03mar1970	.0091730338
04mar1970	.00092670153
05mar1970	-.00076161278
06mar1970	-.0043647815
09mar1970	
10mar1970	.0017843468
11mar1970	-.0020284983
12mar1970	-.0021227784
13mar1970	-.0056309612
16mar1970	
17mar1970	.0030930419
18mar1970	.00069042551
19mar1970	-.0038749785
20mar1970	-.0017270354
23mar1970	
24mar1970	.013217701
25mar1970	.020935735
26mar1970	.0011636664
30mar1970	
31mar1970	.0011717887
01apr1970	.0082022892
02apr1970	.00041658044
03apr1970	-.00066906319
06apr1970	
07apr1970	.00058126886
08apr1970	0
09apr1970	.0010857442
10apr1970	-.0025774236
13apr1970	
14apr1970	-.0068179811
15apr1970	.0026100709
16apr1970	-.0086367046
17apr1970	.000090226669
20apr1970	
21apr1970	-.0043400079
22apr1970	-.012898225
23apr1970	-.015887141
24apr1970	-.0044062999
27apr1970	
28apr1970	-.01482748
29apr1970	.017869832
30apr1970	-.0017917115
01may1970	-.0033204118
04may1970	
05may1970	-.0067682732
06may1970	.012113925
07may1970	.0064934287
08may1970	-.0074126199
11may1970	
12may1970	-.0077474555
13may1970	-.015374687
14may1970	-.013129235
15may1970	.025134513
18may1970	
19may1970	-.016368018
20may1970	-.021712227
21may1970	-.016843427
22may1970	-.0046406151
25may1970	
26may1970	-.016031545
27may1970	.04951727
28may1970	.031100605
29may1970	.023531485
01jun1970	
02jun1970	-.0010563604
03jun1970	.0059713414
04jun1970	-.010321138
05jun1970	-.016410653
08jun1970	
09jun1970	-.000099982615
10jun1970	-.008332721
11jun1970	-.014404382
12jun1970	-.00030681913
15jun1970	
16jun1970	.027125305
17jun1970	-.0022396669
18jun1970	.011302758
19jun1970	.010801699
22jun1970	
23jun1970	-.025457103
24jun1970	-.0083717508
25jun1970	.0018761354
26jun1970	-.0083247544
29jun1970	
30jun1970	.00090754981
01jul1970	.0059948768
02jul1970	.0021789982
06jul1970	
07jul1970	-.0093679409
08jul1970	.018839642
09jul1970	.015536428
10jul1970	.010525065
13jul1970	
14jul1970	.0011670544
15jul1970	.012186473
16jul1970	.016417384
17jul1970	.015961744
20jul1970	
21jul1970	-.016264271
22jul1970	.0035942581
23jul1970	.010992679
24jul1970	-.0033632161
27jul1970	
28jul1970	.0018747415
29jul1970	.0056032282
30jul1970	-.0011290524
31jul1970	-.00083056185
03aug1970	
04aug1970	.0040583718
05aug1970	-.0015027497
06aug1970	-.0027493096
07aug1970	.0039764843
10aug1970	
11aug1970	-.0019208193
12aug1970	-.0026840749
13aug1970	-.0046404349
14aug1970	.0049218489
17aug1970	
18aug1970	.010661347
19aug1970	.010176074
20aug1970	.0077188388
21aug1970	.021437962
24aug1970	
25aug1970	-.00080345914
26aug1970	.0019744122
27aug1970	-.00089457427
28aug1970	.0078920433
31aug1970	
01sep1970	-.008445398
02sep1970	-.0019936892
03sep1970	.01134114
04sep1970	.0076542008
08sep1970	
09sep1970	-.008716803
10sep1970	-.0074385717
11sep1970	.0014318064
14sep1970	
15sep1970	-.0087155001
16sep1970	.0049971659
17sep1970	.0044444911
18sep1970	.0010816898
21sep1970	
22sep1970	-.0059357812
23sep1970	.0092020947
24sep1970	.0065138969
25sep1970	.0032345755
28sep1970	
29sep1970	.0025134522
30sep1970	-.00026290413
01oct1970	0
02oct1970	.0071782297
05oct1970	
06oct1970	.0073758471
07oct1970	.0015707262
08oct1970	-.0085089635
09oct1970	-.01080403
12oct1970	
13oct1970	-.0054844888
14oct1970	.0035067024
15oct1970	.006716365
16oct1970	-.0059038317
19oct1970	
20oct1970	.0030752628
21oct1970	.0010800371
22oct1970	-.0023459725
23oct1970	.0019904568
26oct1970	
27oct1970	-.0026209648
28oct1970	.0019994706
29oct1970	-.0031798538
30oct1970	.0027167106
02nov1970	
03nov1970	.013184293
04nov1970	.0035610225
05nov1970	.00097252935
06nov1970	.00053121505
09nov1970	
10nov1970	-.00036007856
11nov1970	.0027233909
12nov1970	-.014862956
13nov1970	-.010747682
16nov1970	
17nov1970	.00044714694
18nov1970	-.0082260175
19nov1970	.0020926555
20nov1970	.0075788391
23nov1970	
24nov1970	.0067651104
25nov1970	.0025591203
27nov1970	
30nov1970	
01dec1970	.00025176743
02dec1970	.010457707
03dec1970	.0073115076
04dec1970	.009270058
07dec1970	
08dec1970	-.0043580495
09dec1970	.00017176129
10dec1970	.007113649
11dec1970	.0059017106
14dec1970	
15dec1970	-.0043340675
16dec1970	-.00067125302
17dec1970	.0037533306
18dec1970	.00075383013
21dec1970	
22dec1970	.0014961191
23dec1970	.00041311132
24dec1970	.0063821608
28dec1970	
29dec1970	.013258561
30dec1970	-.00080791855
31dec1970	-.0028567659
04jan1971	
05jan1971	.0062412582
06jan1971	.0026287863
07jan1971	-.00016702902
08jan1971	-.00097920687
11jan1971	
12jan1971	.008302629
13jan1971	-.0036551598
14jan1971	.002612191
15jan1971	.0028300795
18jan1971	
19jan1971	.0019442333
20jan1971	.00056494749
21jan1971	.0056197792
22jan1971	.0076571656
25jan1971	
26jan1971	.0013507
27jan1971	-.0068996474
28jan1971	.0049943007
29jan1971	.0038762251
01feb1971	
02feb1971	-.0036749307
03feb1971	.0018733555
04feb1971	-.0016447589
05feb1971	.0020327403
08feb1971	
09feb1971	-.0026448779
10feb1971	.0014765902
11feb1971	.0048119747
12feb1971	.0039342279
16feb1971	
17feb1971	-.0024635431
18feb1971	-.0031698938
19feb1971	-.0073712356
22feb1971	
23feb1971	.0011731241
24feb1971	.0064389897
25feb1971	.0072371564
26feb1971	-.003577861
01mar1971	
02mar1971	.00054372085
03mar1971	-.00070238486
04mar1971	.010114218
05mar1971	.0074216984
08mar1971	
09mar1971	.00053398806
10mar1971	-.0035877549
11mar1971	.0039658691
12mar1971	-.0012237044
15mar1971	
16mar1971	.007065929
17mar1971	-.00067808683
18mar1971	.0030696122
19mar1971	-.0042738519
22mar1971	
23mar1971	-.0018796052
24mar1971	-.010529578
25mar1971	.001599843
26mar1971	.0029595962
29mar1971	
30mar1971	-.00009958195
31mar1971	.0010841932
01apr1971	-.00054194964
02apr1971	-.00092978874
05apr1971	
06apr1971	.0084277904
07apr1971	.0062909196
08apr1971	.0020665026
12apr1971	
13apr1971	.00069044472
14apr1971	.0056671551
15apr1971	.0060083945
16apr1971	.0021721269
19apr1971	
20apr1971	-.0046797348
21apr1971	-.0032771775
22apr1971	-.0007439183
23apr1971	.0075830668
26apr1971	
27apr1971	.0032679879
28apr1971	.0039306241
29apr1971	-.0028120345
30apr1971	-.0067728967
03may1971	
04may1971	.0064569879
05may1971	.0015651559
06may1971	-.0026953139
07may1971	-.00044819986
10may1971	
11may1971	.0050272993
12may1971	.00022405809
13may1971	-.0011954267
14may1971	-.0002991127
17may1971	
18may1971	-.002978479
19may1971	.0016098997
20may1971	.0036561871
21may1971	-.0016691
24may1971	
25may1971	-.0070995791
26may1971	-.0003088956
27may1971	-.00069522939
28may1971	.0022386196
01jun1971	
02jun1971	.0065129432
03jun1971	.001825167
04jun1971	.00092222373
07jun1971	
08jun1971	-.0087592304
09jun1971	-.0027907318
10jun1971	.0038284466
11jun1971	.00055658194
14jun1971	
15jun1971	-.00056202209
16jun1971	.0015310304
17jun1971	-.0025787707
18jun1971	-.01903804
21jun1971	
22jun1971	-.0024101743
23jun1971	.0057359361
24jun1971	-.0024933012
25jun1971	-.00066138763
28jun1971	
29jun1971	.010482051
30jun1971	.0099694384
01jul1971	.0021186494
02jul1971	-.003185282
06jul1971	
07jul1971	.0040040957
08jul1971	.0056876671
09jul1971	.00089860451
12jul1971	
13jul1971	-.012273394
14jul1971	-.0013119418
15jul1971	-.0026291269
16jul1971	-.00040507416
19jul1971	
20jul1971	.0066453344
21jul1971	-.0016375172
22jul1971	-.0046807257
23jul1971	.0012398552
26jul1971	
27jul1971	-.0092339283
28jul1971	-.0099161565
29jul1971	-.012218732
30jul1971	-.0034770395
02aug1971	
03aug1971	-.01736532
04aug1971	-.0060297493
05aug1971	.0053471676
06aug1971	.0013646263
09aug1971	
10aug1971	-.0036380074
11aug1971	.0080547277
12aug1971	.014812138
13aug1971	-.0034868116
16aug1971	
17aug1971	.012242668
18aug1971	-.015374887
19aug1971	-.0061122393
20aug1971	.00015888653
23aug1971	
24aug1971	.013081104
25aug1971	.0046786186
26aug1971	-.002502131
27aug1971	.0022599418
30aug1971	
31aug1971	-.0037343588
01sep1971	.0010572785
02sep1971	.001789221
03sep1971	.013367496
07sep1971	
08sep1971	.0048547196
09sep1971	-.0054877349
10sep1971	-.0053533888
13sep1971	
14sep1971	-.0085476162
15sep1971	.0035537742
16sep1971	-.0019358734
17sep1971	.0056422618
20sep1971	
21sep1971	-.0019352526
22sep1971	-.010963171
23sep1971	-.0025436145
24sep1971	-.0022127861
27sep1971	
28sep1971	.0010747415
29sep1971	-.00066728779
30sep1971	.0037944114
01oct1971	.0076242145
04oct1971	
05oct1971	-.0050592883
06oct1971	.010504116
07oct1971	.0013870782
08oct1971	-.0087876832
11oct1971	
12oct1971	.0018034106
13oct1971	-.0053300546
14oct1971	-.011815709
15oct1971	-.0043127253
18oct1971	
19oct1971	-.0046069114
20oct1971	-.014825533
21oct1971	-.00093545619
22oct1971	-.0029052873
25oct1971	
26oct1971	-.00370753
27oct1971	-.010679494
28oct1971	.0014814701
29oct1971	.0016461753
01nov1971	
02nov1971	.0025637259
03nov1971	.017479658
04nov1971	.00069994462
05nov1971	-.0033024908
08nov1971	
09nov1971	.00044166658
10nov1971	-.014134279
11nov1971	-.01369874
12nov1971	-.0024203355
15nov1971	
16nov1971	.010041567
17nov1971	.0041807569
18nov1971	-.0082932757
19nov1971	-.005756394
22nov1971	
23nov1971	-.0064705606
24nov1971	.00082679972
26nov1971	
29nov1971	
30nov1971	.001938566
01dec1971	.017492302
02dec1971	.0032805887
03dec1971	.012643782
06dec1971	
07dec1971	.001961397
08dec1971	-.0029785961
09dec1971	-.0031633901
10dec1971	.0053835646
13dec1971	
14dec1971	-.0042591807
15dec1971	.010029748
16dec1971	.0087946905
17dec1971	.0027618478
20dec1971	
21dec1971	.0037330913
22dec1971	-.0039026227
23dec1971	-.0041788733
27dec1971	
28dec1971	.0096080331
29dec1971	.0041263909
30dec1971	-.0051493789
31dec1971	.0012701895
03jan1972	
04jan1972	.0032893023
05jan1972	.013580978
06jan1972	.0044789668
07jan1972	.0020672351
10jan1972	
11jan1972	.0045492575
12jan1972	-.0014043057
13jan1972	-.0062114899
14jan1972	.0016557574
17jan1972	
18jan1972	.0066727176
19jan1972	-.0024669517
20jan1972	-.0051061702
21jan1972	-.0031467511
24jan1972	
25jan1972	-.0023443939
26jan1972	-.0062448098
27jan1972	.011939898
28jan1972	.0072527737
31jan1972	
01feb1972	-.00042130079
02feb1972	.00449205
03feb1972	-.002985023
04feb1972	.0039008886
07feb1972	
08feb1972	.0034896333
09feb1972	.01269559
10feb1972	.0027826743
11feb1972	-.0040133423
14feb1972	
15feb1972	.003955265
16feb1972	.0091758166
17feb1972	-.00098643685
18feb1972	-.0049033933
22feb1972	
23feb1972	-.0017312034
24feb1972	.00089884509
25feb1972	.010994413
28feb1972	
29feb1972	.0041459631
01mar1972	.0078344941
02mar1972	-.0017761326
03mar1972	.0092314621
06mar1972	
07mar1972	-.0034896296
08mar1972	-.0013527033
09mar1972	-.0029443246
10mar1972	-.0031232124
13mar1972	
14mar1972	.0057337801
15mar1972	.0035376297
16mar1972	-.00064030866
17mar1972	.0065652668
20mar1972	
21mar1972	-.0076261195
22mar1972	-.000074957119
23mar1972	.011455352
24mar1972	-.0025543326
27mar1972	
28mar1972	-.0028879624
29mar1972	-.004267307
30mar1972	.0081976345
03apr1972	
04apr1972	.0026428404
05apr1972	.011739071
06apr1972	.0051097712
07apr1972	.003288148
10apr1972	
11apr1972	.0047066319
12apr1972	.0045192209
13apr1972	-.0014799485
14apr1972	.0022655553
17apr1972	
18apr1972	.0024075899
19apr1972	-.004281905
20apr1972	.0015638471
21apr1972	-.0025801819
24apr1972	
25apr1972	-.011544418
26apr1972	.00047534076
27apr1972	-.0010249107
28apr1972	.0086310096
01may1972	
02may1972	-.0075420784
03may1972	-.0018516292
04may1972	.0041052741
05may1972	.0041734418
08may1972	
09may1972	-.013655934
10may1972	.0064110169
11may1972	.0040302426
12may1972	.0074600964
15may1972	
16may1972	-.0031145806
17may1972	.0019995591
18may1972	.010653306
19may1972	.01078028
22may1972	
23may1972	-.003123051
24may1972	.0032784548
25may1972	.0037321618
26may1972	.0022470455
30may1972	
31may1972	-.010828847
01jun1972	0
02jun1972	.00069719629
05jun1972	
06jun1972	-.0030747382
07jun1972	-.0077867438
08jun1972	-.0029490408
09jun1972	-.0073037515
12jun1972	
13jun1972	.0016852869
14jun1972	.0090182461
15jun1972	-.00086646737
16jun1972	-.00096241012
19jun1972	
20jun1972	.0067617027
21jun1972	.0035687597
22jun1972	-.00094617461
23jun1972	-.006352263
26jun1972	
27jun1972	-.001207405
28jun1972	-.004758548
29jun1972	-.0049432567
30jun1972	.0029968859
03jul1972	
05jul1972	
06jul1972	.0092344806
07jul1972	-.0043293643
10jul1972	
11jul1972	-.0068886625
12jul1972	-.0023573106
13jul1972	-.0072799637
14jul1972	.0057306336
17jul1972	
18jul1972	-.0035474792
19jul1972	.0054364656
20jul1972	-.0068303626
21jul1972	.010923698
24jul1972	
25jul1972	-.00097333227
26jul1972	-.0020139103
27jul1972	-.0061525097
28jul1972	-.00016181207
31jul1972	
01aug1972	.0061665047
02aug1972	.011423446
03aug1972	.0069354516
04aug1972	.0042749029
07aug1972	
08aug1972	-.00071369333
09aug1972	-.0013448513
10aug1972	.0018172233
11aug1972	.011778505
14aug1972	
15aug1972	-.003642994
16aug1972	-.0059145158
17aug1972	-.002970428
18aug1972	.004607684
21aug1972	
22aug1972	.0065131444
23aug1972	-.0032513009
24aug1972	-.012412442
25aug1972	.001022016
28aug1972	
29aug1972	-.0023539884
30aug1972	.0033044463
31aug1972	.006109538
01sep1972	.0065364516
05sep1972	
06sep1972	-.0061465451
07sep1972	-.0010176963
08sep1972	-.0012580219
11sep1972	
12sep1972	-.0094265118
13sep1972	.0040508378
14sep1972	-.0024559728
15sep1972	-.00024274011
18sep1972	
19sep1972	-.0023086551
20sep1972	-.0031113394
21sep1972	-.00080863293
22sep1972	.003760962
25sep1972	
26sep1972	.00088663312
27sep1972	.011349465
28sep1972	.0083053717
29sep1972	-.001970222
02oct1972	
03oct1972	.0012579821
04oct1972	-.0033162024
05oct1972	-.010578094
06oct1972	.0043039061
09oct1972	
10oct1972	.0032516529
11oct1972	-.0057105548
12oct1972	-.0095123136
13oct1972	-.0074950024
16oct1972	
17oct1972	.0052160751
18oct1972	.006305146
19oct1972	-.00023602731
20oct1972	.011403219
23oct1972	
24oct1972	.0012606364
25oct1972	-.0011870486
26oct1972	-.0008622852
27oct1972	-.0043648551
30oct1972	
31oct1972	.0095692882
01nov1972	.013534045
02nov1972	.0046559824
03nov1972	.011302093
06nov1972	
08nov1972	
09nov1972	.0045842063
10nov1972	.0070581883
13nov1972	
14nov1972	.0060892846
15nov1972	-.0047362577
16nov1972	.0052644778
17nov1972	.0018713411
20nov1972	
21nov1972	.0081356671
22nov1972	.0071688909
24nov1972	
27nov1972	
28nov1972	.0015512418
29nov1972	-.00052010821
30nov1972	-.00058907189
01dec1972	.0056019523
04dec1972	
05dec1972	-.0039708023
06dec1972	.0044770124
07dec1972	.0055512278
08dec1972	-.000067815199
11dec1972	
12dec1972	-.0029766997
13dec1972	-.0026263527
14dec1972	-.0052734897
15dec1972	.0021243799
18dec1972	
19dec1972	-.004024874
20dec1972	-.0043296842
21dec1972	-.0048084282
22dec1972	.0042011845
26dec1972	
27dec1972	.00097298477
29dec1972	
02jan1973	
03jan1973	.011679353
04jan1973	-.0038298864
05jan1973	.0073587564
08jan1973	
09jan1973	-.00071600074
10jan1973	-.0010031931
11jan1973	.0053770747
12jan1973	-.011802731
15jan1973	
16jan1973	-.0012487511
17jan1973	.004684791
18jan1973	0
19jan1973	-.0028512056
22jan1973	
23jan1973	-.0001472654
24jan1973	-.013908487
26jan1973	
29jan1973	
30jan1973	-.0035588436
31jan1973	.0061146575
01feb1973	-.013341582
02feb1973	-.0050544771
05feb1973	
06feb1973	.0015420939
07feb1973	-.011898085
08feb1973	-.001167656
09feb1973	.012606459
12feb1973	
13feb1973	.0052204756
14feb1973	-.017049326
15feb1973	-.0069430177
16feb1973	.0062488429
20feb1973	
21feb1973	-.0094488245
22feb1973	-.0026308747
23feb1973	-.012310762
26feb1973	
27feb1973	-.0061734058
28feb1973	.0075145513
01mar1973	-.0056911227
02mar1973	.012213826
05mar1973	
06mar1973	.012446892
07mar1973	.0010005009
08mar1973	-.0036188364
09mar1973	-.0043209251
12mar1973	
13mar1973	.0064960062
14mar1973	.0028440757
15mar1973	-.0092678936
16mar1973	-.007005176
19mar1973	
20mar1973	-.0027662585
21mar1973	-.011717474
22mar1973	-.014134379
23mar1973	-.0026949274
26mar1973	
27mar1973	.018165661
28mar1973	.0032648458
29mar1973	.011682563
30mar1973	-.0085124765
02apr1973	
03apr1973	-.0090454575
04apr1973	-.002914523
05apr1973	-.0017202679
06apr1973	.0082069617
09apr1973	
10apr1973	.013563868
11apr1973	.007178809
12apr1973	-.0034999247
13apr1973	-.0048560644
16apr1973	
17apr1973	-.0034551986
18apr1973	.0051053129
19apr1973	.0050897733
23apr1973	
24apr1973	-.015399985
25apr1973	-.01093367
26apr1973	.0077290242
27apr1973	-.016742785
30apr1973	
01may1973	-.00023875602
02may1973	.012009537
03may1973	.014196069
04may1973	.0086337356
07may1973	
08may1973	.0061553447
09may1973	-.0079029705
10may1973	-.010283941
11may1973	-.01216737
14may1973	
15may1973	.0084833009
16may1973	-.00032703704
17may1973	-.0059272549
18may1973	-.018319268
21may1973	
22may1973	.0066893026
23may1973	.0028643669
24may1973	.032342065
25may1973	.0068992819
29may1973	
30may1973	-.018207708
31may1973	-.00824189
01jun1973	-.0082991179
04jun1973	
05jun1973	.016679021
06jun1973	-.0029238705
07jun1973	.012656439
08jun1973	.011346745
11jun1973	
12jun1973	.012909305
13jun1973	-.012494135
14jun1973	-.013825494
15jun1973	-.01604303
18jun1973	
19jun1973	.0073663774
20jun1973	.0035782247
21jun1973	-.012580067
22jun1973	.0070374836
25jun1973	
26jun1973	.011792627
27jun1973	.0058841398
28jun1973	.011251935
29jun1973	-.0032804268
02jul1973	
03jul1973	-.0072945883
05jul1973	
06jul1973	-.004826826
09jul1973	
10jul1973	.012528622
11jul1973	.022121564
12jul1973	-.0069056088
13jul1973	-.017842349
16jul1973	
17jul1973	.00050123601
18jul1973	.008173354
19jul1973	.0014127063
20jul1973	.0046435804
23jul1973	
24jul1973	.0060811779
25jul1973	.015445293
26jul1973	.0016171027
27jul1973	.0023299989
30jul1973	
31jul1973	-.0079240426
01aug1973	-.015468802
02aug1973	-.0022388811
03aug1973	-.0013963856
06aug1973	
07aug1973	-.00090974238
08aug1973	-.010948463
09aug1973	-.00058777531
10aug1973	-.010156883
13aug1973	
14aug1973	-.014242694
15aug1973	.0039658491
16aug1973	-.0016371685
17aug1973	-.0010317251
20aug1973	
21aug1973	-.011082626
22aug1973	-.0069484557
23aug1973	.014635882
24aug1973	-.0011227545
27aug1973	
28aug1973	.0015607083
29aug1973	.012942346
30aug1973	-.0010192342
31aug1973	.005694584
04sep1973	
05sep1973	.0041126432
06sep1973	.00217759
07sep1973	-.0026782406
10sep1973	
11sep1973	-.0062687038
12sep1973	-.0050252527
13sep1973	-.00085135852
14sep1973	.0065537388
17sep1973	
18sep1973	-.0019391689
19sep1973	.021214902
20sep1973	.011098518
21sep1973	.0079743713
24sep1973	
25sep1973	.0040910384
26sep1973	.0094707329
27sep1973	.0039626695
28sep1973	-.0064935414
01oct1973	
02oct1973	.0083647054
03oct1973	.0080672884
04oct1973	-.0090083284
05oct1973	.015930571
08oct1973	
09oct1973	-.0035453988
10oct1973	-.014079493
11oct1973	.016007448
12oct1973	.0026193268
