date	adjclose__IXIC	adjclose__FCHI	adjclose__GDAXI
02jan2013			
03jan2013	3100.570068359375	3721.169921875	7756.43994140625
04jan2013	3101.659912109375	3730.02001953125	7776.3701171875
07jan2013	3098.81005859375	3704.639892578125	7732.66015625
08jan2013	3091.81005859375	3705.8798828125	7695.830078125
09jan2013	3105.81005859375	3717.449951171875	7720.47021484375
10jan2013	3121.760009765625	3703.1201171875	7708.47021484375
11jan2013	3125.6298828125	3706.02001953125	7715.52978515625
14jan2013	3117.5	3708.25	7729.52001953125
15jan2013	3110.780029296875	3697.35009765625	7675.91015625
16jan2013	3117.5400390625	3708.489990234375	7691.1298828125
17jan2013	3136	3744.110107421875	7735.4599609375
18jan2013	3134.7099609375	3741.580078125	7702.22998046875
21jan2013		3763.030029296875	7748.85986328125
22jan2013	3143.179931640625	3741.010009765625	7696.2099609375
23jan2013	3153.669921875	3726.169921875	7707.5400390625
24jan2013	3130.3798828125	3752.169921875	7748.1298828125
25jan2013	3149.7099609375	3778.159912109375	7857.97021484375
28jan2013	3154.300048828125	3780.889892578125	7833
29jan2013	3153.659912109375	3785.820068359375	7848.56982421875
30jan2013	3142.31005859375	3765.52001953125	7811.31005859375
31jan2013	3142.1298828125	3732.60009765625	7776.0498046875
01feb2013	3179.10009765625	3773.530029296875	7833.39013671875
04feb2013	3131.169921875	3659.909912109375	7638.22998046875
05feb2013	3171.580078125	3694.699951171875	7664.66015625
06feb2013	3168.47998046875	3642.89990234375	7581.18017578125
07feb2013	3165.1298828125	3601.050048828125	7590.85009765625
08feb2013	3193.8701171875	3649.5	7652.14013671875
11feb2013	3192	3650.580078125	7633.740234375
12feb2013	3186.489990234375	3686.580078125	7660.18994140625
13feb2013	3196.8798828125	3698.530029296875	7711.89013671875
14feb2013	3198.659912109375	3669.60009765625	7631.18994140625
15feb2013	3192.030029296875	3660.3701171875	7593.509765625
18feb2013		3667.0400390625	7628.72998046875
19feb2013	3213.590087890625	3735.820068359375	7752.4501953125
20feb2013	3164.409912109375	3709.8798828125	7728.89990234375
21feb2013	3131.489990234375	3624.800048828125	7583.56982421875
22feb2013	3161.820068359375	3706.280029296875	7661.91015625
25feb2013	3116.25	3721.330078125	7773.18994140625
26feb2013	3129.64990234375	3621.919921875	7597.10986328125
27feb2013	3162.260009765625	3691.489990234375	7675.830078125
28feb2013	3160.18994140625	3723	7741.7001953125
01mar2013	3169.739990234375	3699.909912109375	7708.16015625
04mar2013	3182.030029296875	3709.760009765625	7691.68017578125
05mar2013	3224.1298828125	3787.18994140625	7870.31005859375
06mar2013	3222.3701171875	3773.760009765625	7919.330078125
07mar2013	3232.090087890625	3793.780029296875	7939.77001953125
08mar2013	3244.3701171875	3840.14990234375	7986.47021484375
11mar2013	3252.8701171875	3836.27001953125	7984.2900390625
12mar2013	3242.320068359375	3839.969970703125	7966.1201171875
13mar2013	3245.1201171875	3836.0400390625	7970.91015625
14mar2013	3258.929931640625	3871.580078125	8058.3701171875
15mar2013	3249.070068359375	3844.030029296875	8042.85009765625
18mar2013	3237.590087890625	3825.469970703125	8010.7001953125
19mar2013	3229.10009765625	3775.75	7947.7900390625
20mar2013	3254.18994140625	3829.56005859375	8001.97021484375
21mar2013	3222.60009765625	3774.85009765625	7932.509765625
22mar2013	3245	3770.2900390625	7911.35009765625
25mar2013	3235.300048828125	3727.97998046875	7870.89990234375
26mar2013	3252.47998046875	3748.639892578125	7879.669921875
27mar2013	3256.52001953125	3711.639892578125	7789.08984375
