year	rgnp	gnp	pcrgnp	ip	emp	un	prgnp	cpi	wg	rwg	m	vel	bnd	sp500	lrgnp	lgnp	lpcrgnp	lip	lemp	lun	lprgnp	lcpi	lwg	lrwg	lm	lvel	lsp500
1860				.9				27										-.1053605156578263				3.295836866004329					
1861				.9				27										-.1053605156578263				3.295836866004329					
1862				.9				30										-.1053605156578263				3.401197381662155					
1863				1				37										0				3.610917912644224					
1864				1				48										0				3.871201010907891					
1865				1				47										0				3.850147601710058					
1866				1.2				44										.1823215567939546				3.784189633918261					
1867				1.3				43										.2623642644674911				3.761200115693562					
1868				1.3				41										.2623642644674911				3.713572066704308					
1869				1.4				40				5.61						.3364722366212129				3.688879454113936				1.724550719534605	
1870				1.5				38				5.16						.4054651081081644				3.637586159726386				1.640936579493471	
1871				1.5				37				4.63		4.69				.4054651081081644				3.610917912644224				1.532556868098143	1.545432582458188
1872				1.8				37				5.05		5.03				.5877866649021191				3.610917912644224				1.619388243287268	1.615419984111648
1873				1.8				37				4.95		4.8				.5877866649021191				3.610917912644224				1.599387576580599	1.568615917913845
1874				1.7				35				4.71		4.57				.5306282510621704				3.555348061489414				1.549687908028326	1.519513204906113
1875				1.7				33				4.46		4.45				.5306282510621704				3.49650756146648				1.495148766031973	1.492904096178149
1876				1.7				32				4.65		4.06				.5306282510621704				3.465735902799727				1.536867219599265	1.401182973613641
1877				1.8				32				4.89		3.14				.5877866649021191				3.465735902799727				1.587192303486781	1.144222799920162
1878				1.9				30				5.06		3.38				.6418538861723947				3.401197381662155				1.621366483299374	1.217875709494927
1879				2.2				29				5.1		4.12				.7884573603642703				3.367295829986474				1.62924053973028	1.415853163361435
1880				2.5				30				5.31		5.21				.9162907318741551				3.401197381662155				1.669591835253847	1.650579855765276
1881				2.8				30				4.41		6.25				1.029619417181158				3.401197381662155				1.483874689458755	1.83258146374831
1882				3				30				4.41		5.9				1.09861228866811				3.401197381662155				1.483874689458755	1.774952350911674
1883				3				29				4.01		5.63				1.09861228866811				3.367295829986474				1.388791241318478	1.728109442151599
1884				2.9				28				3.89		4.73				1.064710736992428				3.332204510175204				1.358409157630355	1.553925202503842
1885				2.9				28				3.53		4.6				1.064710736992428				3.332204510175204				1.261297870945205	1.526056303495049
1886				3.5				28				3.38		5.36				1.252762968495368				3.332204510175204				1.217875709494927	1.678963975082711
1887				3.7				28				3.29		5.53				1.308332819650179				3.332204510175204				1.190887564777281	1.710187815534243
1888				3.8				28				3.15		5.2				1.33500106673234				3.332204510175204				1.147402452837542	1.648658625587382
1889				4.1			25.9	28			3.6	3.08		5.32				1.410986973710262			3.254242968705492	3.332204510175204			1.280933845462064	1.124929596985483	1.671473303353553
1890				4.4	22577	4	25.4	28			3.92	3		5.27				1.481604540924216	10.02468696793797	1.386294361119891	3.234749174024491	3.332204510175204			1.366091653802371	1.09861228866811	1.662030362553271
1891				4.5	22792	5.4	24.9	28			4.08	2.96		5.03				1.504077396776274	10.03416487617774	1.686398953570229	3.214867803470662	3.332204510175204			1.40609698841607	1.085189268335969	1.615419984111648
1892				4.8	23932	3	24	28			4.43	2.86		5.55				1.568615917913845	10.08297175450992	1.09861228866811	3.178053830347946	3.332204510175204			1.488399584057044	1.050821624831761	1.713797927758343
1893				4.3	22321	11.7	24.5	28			4.26	2.93		4.78				1.458615022699517	10.01328321835901	2.45958884180371	3.198673117550682	3.332204510175204			1.449269160281279	1.075002423028976	1.564440546503365
1894				4.2	21102	18.4	23	26			4.28	2.57		4.39				1.435084525289323	9.957123101702038	2.91235066461494	3.13549421592915	3.258096538021482			1.453953009593705	.9439058989071284	1.47932922708708
1895				4.9	22824	13.7	22.7	25			4.43	2.73		4.53				1.589235205116581	10.03556789289334	2.617395832834079	3.122364924487357	3.218875824868201			1.488399584057044	1.004301609196868	1.510721939494943
1896				4.6	23129	14.4	22.1	25			4.35	2.63		4.23				1.526056303495049	10.0488425203955	2.667228206581955	3.095577608523707	3.218875824868201			1.470175845100593	.9669838461896731	1.442201993058187
1897				4.9	23604	14.5	22.2	25			4.64	2.72		4.45				1.589235205116581	10.06917146817706	2.674148649426529	3.100092288878234	3.218875824868201			1.534714366238164	1.000631880307906	1.492904096178149
1898				5.6	24746	12.4	22.9	25			5.26	2.51		5.05				1.722766597741104	10.11641913877392	2.517696472610991	3.131136910560194	3.218875824868201			1.660131026749619	.9202827531436925	1.619388243287268
1899				6.1	26911	6.5	23.6	25			6.09	2.49		6.29				1.808288771179265	10.20029040393723	1.871802176901591	3.161246712031565	3.218875824868201			1.806648081721806	.9122827104766164	1.838961070712349
1900				6.3	27909	5	24.7	25	487	19.48	6.6	2.49	3.3	6.15				1.840549633397487	10.23670449643667	1.6094379124341	3.206803243633932	3.218875824868201	6.18826412308259	2.969388298214389	1.88706964903238	.9122827104766164	1.816452081818427
1901				7.1	28922	4	24.5	25	511	20.44	7.48	2.44	3.25	7.84				1.96009478404727	10.27235783017474	1.386294361119891	3.198673117550682	3.218875824868201	6.236369590203704	3.017493765335504	2.012232791986386	.8919980393051105	2.059238834362316
1902				7.9	29800	3.7	25.4	26	537	20.65	8.17	2.31	3.3	8.42				2.066862759472976	10.3022636724935	1.308332819650179	3.234749174024491	3.258096538021482	6.285998094508865	3.027715319407042	2.100468908871911	.8372475245337022	2.130609828254235
1903				8.1	30506	3.9	25.7	27	548	20.3	8.68	2.29	3.45	7.21				2.091864061678393	10.32567866455988	1.360976553135601	3.246490991901174	3.295836866004329	6.306275286948016	3.010620886047742	2.161021528672259	.8285518175661483	1.975468951296858
1904				7.8	30771	5.4	26	27	538	19.93	9.24	2.14	3.6	7.05				2.054123733695546	10.33432796697552	1.686398953570229	3.258096538021482	3.295836866004329	6.287858560161784	2.992226134224703	2.223541885653593	.7608058290337602	1.953027616824177
1905				9.199999999999999	31976	4.3	26.5	27	561	20.78	10.24	2.13	3.5	8.99				2.219203484054995	10.37274090039116	1.458615022699517	3.277144732992177	3.295836866004329	6.329720905522696	3.033990985671081	2.326301619611362	.7561219797213337	2.196112848483529
1906				9.800000000000001	33749	1.7	27.2	28	577	20.61	11.08	2.28	3.55	9.640000000000001				2.282382385676526	10.42670606623208	.5306282510621704	3.303216973301951	3.332204510175204	6.3578422665081	3.025776394902368	2.405141681319138	.8241754429663494	2.265921108622454
1907				10	34371	2.8	28.3	29	598	20.62	11.6	2.28	3.8	7.84				2.302585092994046	10.44496846456174	1.029619417181158	3.342861804649192	3.367295829986474	6.393590753950631	3.026261478588814	2.451005098112319	.8241754429663494	2.059238834362316
1908				8.5	33246	8	28.1	28	548	19.57	11.44	2.06	3.95	7.78				2.140066163496271	10.4116897380954	2.079441541679836	3.3357695763397	3.332204510175204	6.306275286948016	2.973997781407985	2.437115985951652	.7227059828014898	2.0515563381903
1909	116.8	33400	1291	10	35072	5.1	29.1	28	599	21.39	12.68	2.19	3.77	9.710000000000001	4.760463070394127	10.41631117896479	7.163172390846642	2.302585092994046	10.46515837030769	1.62924053973028	3.370738174177447	3.332204510175204	6.395261598115449	3.062923523094314	2.54002594900908	.7839015438284094	2.273156282303233
1910	120.1	35300	1300	10.6	35762	5.9	29.9	29	651	22.45	13.34	2.17	3.8	9.35	4.788324729085938	10.47163824292139	7.170119543449628	2.360854001118021	10.48464115613515	1.774952350911674	3.397858480396641	3.367295829986474	6.478509642208569	3.111290614188263	2.590767040487478	.7747271675523681	2.235376343300596
1911	123.2	35800	1312	10.2	36179	6.7	29.7	29	632	21.79	14.12	2.07	3.9	9.24	4.81380905109942	10.48570317238879	7.179307969504034	2.322387720290225	10.49623411898743	1.90210752639692	3.391147045808654	3.367295829986474	6.448889394146858	3.081451148956528	2.647592232065096	.7275486072772777	2.223541885653593
1912	130.2	39400	1366	11.7	37433	4.6	30.9	30	651	21.7	15.13	2.12	3.9	9.529999999999999	4.869071729774468	10.58152109528602	7.219642040130736	2.45958884180371	10.53030794729928	1.526056303495049	3.4307561839037	3.401197381662155	6.478509642208569	3.077312260546414	2.716679527800264	.7514160886839212	2.254444717666111
1913	131.4	39600	1351	12.5	38298	4.3	31.1	29.7	689	23.2	15.73	2.15	4	8.51	4.87824610605051	10.58658439724257	7.208600337960199	2.525728644308256	10.55315295448411	1.458615022699517	3.437207819185188	3.391147045808654	6.535241271013659	3.144152278672264	2.755569717070186	.7654678421395714	2.141241942585283
1914	125.6	38600	1267	11.7	37559	7.9	31.4	30.1	696	23.12	16.39	1.88	4.1	8.08	4.833102254034098	10.56100755545292	7.144407180321139	2.45958884180371	10.53366830889961	2.066862759472976	3.446807892914208	3.40452517175483	6.54534966033442	3.140698043804177	2.796671392755739	.6312717768418578	2.089391872533004
1915	124.5	40000	1238	13.6	37511	8.5	32.5	30.4	661	21.74	17.59	1.87	4.15	8.31	4.824305715904762	10.59663473309607	7.121252453244542	2.610069792742006	10.53238950227802	2.140066163496271	3.481240089335692	3.414442608412176	6.493753839851686	3.079153881693063	2.867330558749467	.6259384308664954	2.117459608867357
1916	134.3	48300	1317	16.1	39364	5.1	36.5	32.7	751	22.97	20.85	2.09	4.05	9.470000000000001	4.900076103529192	10.78518683964066	7.183111701743281	2.778819271990417	10.58060697201888	1.62924053973028	3.597312260588446	3.487375077903208	6.621405651764134	3.134189016701007	3.037353948244811	.7371640659767196	2.248128907197987
1917	135.2	60400	1309	16.2	40084	4.6	45	38.4	883	22.99	24.37	2.15	4.05	8.5	4.906755163608864	11.00874438392291	7.1770187659099	2.785011242238338	10.59873253117822	1.526056303495049	3.80666248977032	3.648057459593681	6.78332520060396	3.13505933877509	3.193352867637115	.7654678421395714	2.140066163496271
1918	151.8	76400	1471	16	42712	1.4	52.6	45.1	1107	24.55	26.73	2.47	4.75	7.54	5.02256386496153	11.24373797515461	7.293697720601438	2.772588722239781	10.66223519018002	.3364722366212129	3.962716119743664	3.808882246508633	7.009408932708637	3.20071185424053	3.285786530150828	.9042181506398859	2.020222182019865
