date	GDP	daten	PCEC
1947-01-01	243.08	01jan1947	156.288
1947-04-01	246.267	01apr1947	160.158
1947-07-01	250.115	01jul1947	163.667
1947-10-01	260.309	01oct1947	167.797
1948-01-01	266.173	01jan1948	170.5
1948-04-01	272.897	01apr1948	174.272
1948-07-01	279.497	01jul1948	177.204
1948-10-01	280.656	01oct1948	178.06
1949-01-01	275.37	01jan1949	176.966
1949-04-01	271.692	01apr1949	178.583
1949-07-01	273.262	01jul1949	177.945
1949-10-01	270.984	01oct1949	180.39
1950-01-01	281.209	01jan1950	183.065
1950-04-01	290.735	01apr1950	186.953
1950-07-01	308.51	01jul1950	200.653
1950-10-01	320.32	01oct1950	198.09
1951-01-01	336.372	01jan1951	209.356
1951-04-01	344.455	01apr1951	205.09
1951-07-01	351.774	01jul1951	207.758
1951-10-01	356.579	01oct1951	211.733
1952-01-01	360.195	01jan1952	213.094
1952-04-01	361.414	01apr1952	217.227
1952-07-01	368.084	01jul1952	219.715
1952-10-01	381.241	01oct1952	227.856
1953-01-01	388.472	01jan1953	231.463
1953-04-01	392.259	01apr1953	233.224
1953-07-01	391.696	01jul1953	233.949
1953-10-01	386.521	01oct1953	233.411
1954-01-01	385.924	01jan1954	235.447
1954-04-01	386.716	01apr1954	238.193
1954-07-01	391.596	01jul1954	240.629
1954-10-01	400.348	01oct1954	245.435
1955-01-01	413.753	01jan1955	251.764
1955-04-01	422.226	01apr1955	256.848
1955-07-01	430.925	01jul1955	261.049
1955-10-01	437.787	01oct1955	265.053
1956-01-01	440.491	01jan1956	266.584
1956-04-01	446.771	01apr1956	269.274
1956-07-01	451.983	01jul1956	272.521
1956-10-01	461.278	01oct1956	277.896
1957-01-01	470.578	01jan1957	282.333
1957-04-01	472.835	01apr1957	284.619
1957-07-01	480.315	01jul1957	289.189
1957-10-01	475.681	01oct1957	290.802
1958-01-01	468.353	01jan1958	290.331
1958-04-01	472.786	01apr1958	293.248
1958-07-01	486.653	01jul1958	298.308
1958-10-01	500.38	01oct1958	302.222
1959-01-01	511.063	01jan1959	309.867
1959-04-01	524.241	01apr1959	315.885
1959-07-01	525.196	01jul1959	321.086
1959-10-01	529.322	01oct1959	323.194
1960-01-01	543.347	01jan1960	326.727
1960-04-01	542.697	01apr1960	332.591
1960-07-01	546.0119999999999	01jul1960	332.534
1960-10-01	541.063	01oct1960	334.454
1961-01-01	545.949	01jan1961	334.981
1961-04-01	557.43	01apr1961	339.939
1961-07-01	568.228	01jul1961	342.839
1961-10-01	581.624	01oct1961	350.109
1962-01-01	595.176	01jan1962	355.384
1962-04-01	602.58	01apr1962	361.016
1962-07-01	609.575	01jul1962	364.878
1962-10-01	613.1319999999999	01oct1962	371.149
1963-01-01	622.679	01jan1963	374.718
1963-04-01	631.835	01apr1963	378.851
1963-07-01	644.96	01jul1963	385.841
1963-10-01	654.84	01oct1963	390.504
1964-01-01	671.149	01jan1964	400.121
1964-04-01	680.7569999999999	01apr1964	408.085
1964-07-01	692.807	01jul1964	416.985
1964-10-01	698.424	01oct1964	419.574
1965-01-01	719.248	01jan1965	430.289
1965-04-01	732.369	01apr1965	437.24
1965-07-01	750.184	01jul1965	446.422
1965-10-01	773.104	01oct1965	460.373
1966-01-01	797.328	01jan1966	470.785
1966-04-01	807.153	01apr1966	475.855
1966-07-01	820.798	01jul1966	484.978
1966-10-01	834.864	01oct1966	490.763
1967-01-01	846.046	01jan1967	495.072
1967-04-01	851.058	01apr1967	504.197
1967-07-01	866.614	01jul1967	511.436
1967-10-01	883.201	01oct1967	518.941
1968-01-01	911.135	01jan1968	536.864
1968-04-01	936.297	01apr1968	550.592
1968-07-01	952.347	01jul1968	566.726
1968-10-01	970.129	01oct1968	575.628
1969-01-01	995.419	01jan1969	587.812
1969-04-01	1011.361	01apr1969	599.17
1969-07-01	1032.016	01jul1969	609.487
1969-10-01	1040.741	01oct1969	621.4880000000001
1970-01-01	1053.528	01jan1970	632.576
1970-04-01	1070.11	01apr1970	642.533
1970-07-01	1088.461	01jul1970	654.479
1970-10-01	1091.462	01oct1970	661.178
1971-01-01	1137.812	01jan1971	680.203
1971-04-01	1159.355	01apr1971	694.251
1971-07-01	1180.313	01jul1971	706.654
1971-10-01	1193.585	01oct1971	722.854
1972-01-01	1233.807	01jan1972	740.119
1972-04-01	1270.122	01apr1972	758.615
1972-07-01	1293.837	01jul1972	777.12
1972-10-01	1332.023	01oct1972	801.878
1973-01-01	1380.68	01jan1973	826.451
1973-04-01	1417.595	01apr1973	842.043
1973-07-01	1436.813	01jul1973	860.476
1973-10-01	1479.069	01oct1973	875.58
1974-01-01	1494.654	01jan1974	893.7569999999999
1974-04-01	1534.22	01apr1974	922.287
1974-07-01	1563.396	01jul1974	951.062
1974-10-01	1603.004	01oct1974	960.8680000000001
1975-01-01	1619.553	01jan1975	987.077
1975-04-01	1656.448	01apr1975	1015.822
1975-07-01	1713.812	01jul1975	1049.589
1975-10-01	1765.867	01oct1975	1078.524
1976-01-01	1824.509	01jan1976	1112.3
1976-04-01	1856.944	01apr1976	1131.964
1976-07-01	1890.5	01jul1976	1161.344
1976-10-01	1938.413	01oct1976	1195.08
1977-01-01	1992.534	01jan1977	1230.568
1977-04-01	2060.165	01apr1977	1258.543
1977-07-01	2122.387	01jul1977	1289.707
1977-10-01	2168.716	01oct1977	1327.873
1978-01-01	2208.688	01jan1978	1357.76
1978-04-01	2336.563	01apr1978	1415.292
1978-07-01	2398.866	01jul1978	1446.246
1978-10-01	2482.159	01oct1978	1485.397
1979-01-01	2531.555	01jan1979	1520.983
1979-04-01	2595.909	01apr1979	1561.548
1979-07-01	2670.388	01jul1979	1615.985
1979-10-01	2730.705	01oct1979	1659.463
1980-01-01	2796.523	01jan1980	1706.52
1980-04-01	2799.938	01apr1980	1708.916
1980-07-01	2860.044	01jul1980	1767.679
1980-10-01	2993.525	01oct1980	1835.354
1981-01-01	3131.799	01jan1981	1890.711
1981-04-01	3167.251	01apr1981	1921.924
1981-07-01	3261.203	01jul1981	1961.244
1981-10-01	3283.536	01oct1981	1976.139
1982-01-01	3273.809	01jan1982	2014.394
1982-04-01	3331.281	01apr1982	2041.093
1982-07-01	3367.072	01jul1982	2089.226
1982-10-01	3407.81	01oct1982	2150.927
1983-01-01	3480.321	01jan1983	2190.562
1983-04-01	3583.844	01apr1983	2254.512
1983-07-01	3692.257	01jul1983	2324.306
1983-10-01	3796.121	01oct1983	2376.696
1984-01-01	3912.774	01jan1984	2422.755
1984-04-01	4015	01apr1984	2481.222
1984-07-01	4087.378	01jul1984	2519.712
1984-10-01	4147.606	01oct1984	2568.936
1985-01-01	4237.01	01jan1985	2643.896
1985-04-01	4302.297	01apr1985	2691.201
1985-07-01	4394.563	01jul1985	2764.744
1985-10-01	4453.105	01oct1985	2790.877
1986-01-01	4516.344	01jan1986	2834.731
1986-04-01	4555.245	01apr1986	2863.039
1986-07-01	4619.627	01jul1986	2929.733
1986-10-01	4669.396	01oct1986	2966.13
1987-01-01	4736.231	01jan1987	2998.253
1987-04-01	4821.459	01apr1987	3068.803
1987-07-01	4900.509	01jul1987	3133.528
1987-10-01	5022.67	01oct1987	3167.62
1988-01-01	5090.615	01jan1988	3248.998
1988-04-01	5207.707	01apr1988	3308.97
1988-07-01	5299.486	01jul1988	3378.332
1988-10-01	5412.713	01oct1988	3451.266
1989-01-01	5527.352	01jan1989	3506.077
1989-04-01	5628.429	01apr1989	3569.519
1989-07-01	5711.556	01jul1989	3625.56
1989-10-01	5763.444	01oct1989	3670.109
1990-01-01	5890.835	01jan1990	3754.497
1990-04-01	5974.665	01apr1990	3800.161
1990-07-01	6029.504	01jul1990	3863.399
1990-10-01	6023.332	01oct1990	3884.449
1991-01-01	6054.867	01jan1991	3890.218
1991-04-01	6143.612	01apr1991	3943.691
1991-07-01	6218.425	01jul1991	3989.638
1991-10-01	6279.296	01oct1991	4017.069
1992-01-01	6380.798	01jan1992	4117.664
1992-04-01	6492.299	01apr1992	4173.359
1992-07-01	6586.548	01jul1992	4245.41
1992-10-01	6697.553	01oct1992	4326.188
1993-01-01	6748.182	01jan1993	4368.484
1993-04-01	6829.594	01apr1993	4437.456
1993-07-01	6904.222	01jul1993	4506.03
1993-10-01	7032.844	01oct1993	4572.021
1994-01-01	7136.259	01jan1994	4640.857
1994-04-01	7269.847	01apr1994	4702.884
1994-07-01	7352.255	01jul1994	4773.113
1994-10-01	7476.661	01oct1994	4847.226
1995-01-01	7545.296	01jan1995	4883.349
1995-04-01	7604.923	01apr1995	4954.959
1995-07-01	7706.531	01jul1995	5020.462
1995-10-01	7799.493	01oct1995	5077.937
1996-01-01	7893.146	01jan1996	5153.79
1996-04-01	8061.535	01apr1996	5244.132
1996-07-01	8159.043	01jul1996	5298.287
1996-10-01	8287.078	01oct1996	5376.067
1997-01-01	8402.059999999999	01jan1997	5456.73
1997-04-01	8551.940000000001	01apr1997	5495.08
1997-07-01	8691.755999999999	01jul1997	5603.459
1997-10-01	8788.32	01oct1997	5687.614
1998-01-01	8889.732	01jan1998	5745.924
1998-04-01	8994.737999999999	01apr1998	5857.832
1998-07-01	9146.521000000001	01jul1998	5952.816
1998-10-01	9325.65	01oct1998	6055.545
1999-01-01	9447.102999999999	01jan1999	6129.002
1999-04-01	9557.004999999999	01apr1999	6252.98
1999-07-01	9712.280000000001	01jul1999	6357.222
1999-10-01	9926.101000000001	01oct1999	6488.89
2000-01-01	10031.031	01jan2000	6642.744
2000-04-01	10278.34	01apr2000	6737.272
2000-07-01	10357.445	01jul2000	6845.136
2000-10-01	10472.285	01oct2000	6944.405
2001-01-01	10508.121	01jan2001	7020.383
2001-04-01	10638.384	01apr2001	7072.101
2001-07-01	10639.486	01jul2001	7103.358
2001-10-01	10701.317	01oct2001	7216.591
2002-01-01	10834.445	01jan2002	7251.359
2002-04-01	10934.752	01apr2002	7344.494
2002-07-01	11037.057	01jul2002	7433.115
2002-10-01	11103.834	01oct2002	7507.237
2003-01-01	11230.078	01jan2003	7593.53
2003-04-01	11370.653	01apr2003	7684.58
2003-07-01	11625.137	01jul2003	7845.545
2003-10-01	11816.827	01oct2003	7938.463
2004-01-01	11988.403	01jan2004	8076.797
2004-04-01	12181.398	01apr2004	8186.343
2004-07-01	12367.744	01jul2004	8312.674999999999
2004-10-01	12562.163	01oct2004	8464.252
2005-01-01	12813.729	01jan2005	8573.119000000001
2005-04-01	12974.083	01apr2005	8723.929
2005-07-01	13205.445	01jul2005	8888.050999999999
2005-10-01	13381.629	01oct2005	8991.34
2006-01-01	13648.904	01jan2006	9134.285
2006-04-01	13799.794	01apr2006	9253.742
2006-07-01	13908.498	01jul2006	9374.319
2006-10-01	14066.37	01oct2006	9453.632
2007-01-01	14233.226	01jan2007	9591.853999999999
2007-04-01	14422.313	01apr2007	9700.919
2007-07-01	14569.675	01jul2007	9799.228999999999
2007-10-01	14685.33	01oct2007	9910.027
2008-01-01	14668.445	01jan2008	9974.369000000001
2008-04-01	14812.974	01apr2008	10095.765
2008-07-01	14842.983	01jul2008	10124.858
2008-10-01	14549.949	01oct2008	9859.594999999999
2009-01-01	14383.885	01jan2009	9770.222
2009-04-01	14340.417	01apr2009	9769.75
2009-07-01	14384.145	01jul2009	9890.813
2009-10-01	14566.511	01oct2009	9957.093000000001
2010-01-01	14681.063	01jan2010	10044.522
2010-04-01	14888.6	01apr2010	10137.651
2010-07-01	15057.66	01jul2010	10233.421
2010-10-01	15230.208	01oct2010	10393.185
2011-01-01	15238.371	01jan2011	10523.541
2011-04-01	15460.926	01apr2011	10651.357
2011-07-01	15587.125	01jul2011	10754.462
2011-10-01	15785.312	01oct2011	10827.855
2012-01-01	15973.881	01jan2012	10956.23
2012-04-01	16121.851	01apr2012	11008.347
2012-07-01	16227.939	01jul2012	11073.602
2012-10-01	16297.349	01oct2012	11164.329
2013-01-01	16475.44	01jan2013	11256.655
2013-04-01	16541.39	01apr2013	11284.541
2013-07-01	16749.349	01jul2013	11379.103
2013-10-01	16999.888	01oct2013	11524.398
2014-01-01	17031.324	01jan2014	11640.167
2014-04-01	17320.921	01apr2014	11791.944
2014-07-01	17622.257	01jul2014	11941.143
2014-10-01	17735.933	01oct2014	12081.421
2015-01-01	17874.715	01jan2015	12142.164
2015-04-01	18093.224	01apr2015	12284.199
2015-07-01	18227.689	01jul2015	12407.775
2015-10-01	18287.226	01oct2015	12494.889
2016-01-01	18325.187	01jan2016	12571.463
2016-04-01	18538.039	01apr2016	12754.994
2016-07-01	18729.13	01jul2016	12899.418
2016-10-01	18905.545	01oct2016	13056.9
2017-01-01	19057.705	01jan2017	13191.562
2017-04-01	19250.009	01apr2017	13307.021
2017-07-01	19508.986	01jul2017	13435.024
