date	rGDPgr	daten	time	rGDPgrhat
1947-04-01	-.4	01apr1947	1	3.2111704
1947-07-01	-.4	01jul1947	2	1.8697646
1947-10-01	6.4	01oct1947	3	1.8697646
1948-01-01	6	01jan1948	4	4.3956938
1948-04-01	6.7	01apr1948	5	4.2471094
1948-07-01	2.3	01jul1948	6	4.5071316
1948-10-01	.4	01oct1948	7	2.8727069
1949-01-01	-5.4	01jan1949	8	2.1669326
1949-04-01	-1.3	01apr1949	9	.012463712
1949-07-01	4.5	01jul1949	10	1.5354503
1949-10-01	-3.5	01oct1949	11	3.6899192
1950-01-01	16.9	01jan1950	12	.71823806
1950-04-01	12.7	01apr1950	13	8.2960253
1950-07-01	16.3	01jul1950	14	6.7358928
1950-10-01	8	01oct1950	15	8.0731497
1951-01-01	5.6	01jan1951	16	4.9900298
1951-04-01	7.1	01apr1951	17	4.0985255
1951-07-01	8.5	01jul1951	18	4.6557159
1951-10-01	.9	01oct1951	19	5.1757598
1952-01-01	4.3	01jan1952	20	2.3526628
1952-04-01	.8	01apr1952	21	3.6156273
1952-07-01	2.9	01jul1952	22	2.3155167
1952-10-01	13.8	01oct1952	23	3.0955832
1953-01-01	7.7	01jan1953	24	7.1444988
1953-04-01	3.2	01apr1953	25	4.878592
1953-07-01	-2.2	01jul1953	26	3.2070212
1953-10-01	-5.9	01oct1953	27	1.2011362
1954-01-01	-1.8	01jan1954	28	-.17326637
1954-04-01	.4	01apr1954	29	1.3497204
1954-07-01	4.6	01jul1954	30	2.1669326
1954-10-01	8	01oct1954	31	3.7270653
1955-01-01	11.9	01jan1955	32	4.9900298
1955-04-01	6.7	01apr1955	33	6.4387245
1955-07-01	5.5	01jul1955	34	4.5071316
1955-10-01	2.4	01oct1955	35	4.0613794
1956-01-01	-1.5	01jan1956	36	2.909853
1956-04-01	3.4	01apr1956	37	1.4611584
1956-07-01	-.3	01jul1956	38	3.2813132
1956-10-01	6.7	01oct1956	39	1.9069105
1957-01-01	2.6	01jan1957	40	4.5071316
1957-04-01	-.9	01apr1957	41	2.9841449
1957-07-01	4	01jul1957	42	1.6840345
1957-10-01	-4	01oct1957	43	3.5041893
1958-01-01	-10	01jan1958	44	.53250796
1958-04-01	2.6	01apr1958	45	-1.6962531
1958-07-01	9.6	01jul1958	46	2.9841449
1958-10-01	9.699999999999999	01oct1958	47	5.5843663
1959-01-01	7.7	01jan1959	48	5.6215124
1959-04-01	10.1	01apr1959	49	4.878592
1959-07-01	-.8	01jul1959	50	5.7700963
1959-10-01	1.6	01oct1959	51	1.7211804
1960-01-01	9.199999999999999	01jan1960	52	2.612685
1960-04-01	-1.5	01apr1960	53	5.435782
1960-07-01	1	01jul1960	54	1.4611584
1960-10-01	-4.8	01oct1960	55	2.3898087
1961-01-01	2.7	01jan1961	56	.23533981
1961-04-01	7.6	01apr1961	57	3.021291
1961-07-01	6.8	01jul1961	58	4.8414459
1961-10-01	8.300000000000001	01oct1961	59	4.5442777
1962-01-01	7.4	01jan1962	60	5.1014681
1962-04-01	4.4	01apr1962	61	4.7671537
1962-07-01	3.9	01jul1962	62	3.6527734
1962-10-01	1.6	01oct1962	63	3.4670432
1963-01-01	4.5	01jan1963	64	2.612685
1963-04-01	5.3	01apr1963	65	3.6899192
1963-07-01	8	01jul1963	66	3.9870875
1963-10-01	2.9	01oct1963	67	4.9900298
1964-01-01	8.9	01jan1964	68	3.0955832
1964-04-01	4.8	01apr1964	69	5.3243442
1964-07-01	5.5	01jul1964	70	3.8013575
1964-10-01	1.4	01oct1964	71	4.0613794
1965-01-01	10.2	01jan1965	72	2.5383928
1965-04-01	5.6	01apr1965	73	5.8072424
1965-07-01	8.4	01jul1965	74	4.0985255
1965-10-01	9.800000000000001	01oct1965	75	5.1386142
1966-01-01	10.2	01jan1966	76	5.658658
1966-04-01	1.6	01apr1966	77	5.8072424
1966-07-01	2.9	01jul1966	78	2.612685
1966-10-01	3.5	01oct1966	79	3.0955832
1967-01-01	3.7	01jan1967	80	3.3184593
1967-04-01	.3	01apr1967	81	3.3927512
1967-07-01	3.5	01jul1967	82	2.1297867
1967-10-01	3.2	01oct1967	83	3.3184593
1968-01-01	8.4	01jan1968	84	3.2070212
