date	RETAIL_SALES	HOUSING_STARTS	CIVILIAN_LF	MALE_UR	FEMALE_UR
1948m1			58.69	4.2	3.5
1948m2			59.247	4.7	4.8
1948m3			59.247	4.5	4.4
1948m4			59.878	4	4.1
1948m5			59.777	3.3	3.4
1948m6			62.132	3.4	5
1948m7			62.366	3.5	4.8
1948m8			61.915	3.3	4.5
1948m9			61.398	3.1	4
1948m10			61.037	2.6	3.4
1948m11			61.024	3.1	3.8
1948m12			60.759	3.6	3.7
1949m1			59.481	5.2	4.6
1949m2			59.794	6	5.2
1949m3			60.192	6	4.7
1949m4			60.206	5.5	5.3
1949m5			61.185	5.8	5.7
1949m6			62.197	6.2	6.9
1949m7			62.559	6.8	7.5
1949m8			62.46	6.1	6.9
1949m9			61.959	5.5	6.7
1949m10			61.838	6.2	5.9
1949m11			62.186	5.5	6.2
1949m12			61.402	6.1	5.9
1950m1			60.837	7.8	7.3
1950m2			60.988	8.1	7.4
1950m3			61.046	7.2	6.7
1950m4			61.477	6.2	5.3
1950m5			61.982	5.2	5.5
1950m6			63.548	5.1	6.7
1950m7			63.155	4.9	6.2
1950m8			63.561	3.8	4.8
1950m9			62.735	3.5	5
1950m10			62.763	2.9	4.2
1950m11			62.669	3.1	5.2
1950m12			61.761	3.6	4.5
1951m1			60.815	4.1	5
1951m2			60.64	3.9	4.8
1951m3			61.689	3.2	5
1951m4			61.144	2.7	4.3
1951m5			61.989	2.3	4
1951m6			62.505	2.8	4.8
1951m7			63.04	2.8	4.3
1951m8			62.934	2.4	3.9
1951m9			62.294	2.4	4.5
1951m10			62.66	2.3	3.9
1951m11			62.454	2.6	4.5
1951m12			62.048	2.5	3.7
1952m1			61.142	3.5	4.2
1952m2			61.174	3.7	4.2
1952m3			60.914	3.2	3.5
1952m4			61.068	2.8	3.5
1952m5			62.032	2.5	3.8
1952m6			63.02	2.9	4
1952m7			62.86	3	4
1952m8			62.79	2.7	3.8
1952m9			62.89	2.5	3.3
1952m10			62.472	1.9	3.3
1952m11			62.988	2.1	3.4
1952m12			62.293	2.4	2.7
1953m1			62.266	3.5	3.3
1953m2			62.235	3.2	3.2
1953m3			62.702	2.8	3.3
1953m4			62.521	2.8	2.9
1953m5			62.597	2.4	2.6
1953m6			63.898	2.5	3.2
1953m7			63.896	2.5	3
1953m8			63.783	2.1	2.9
1953m9			63.148	2.2	3.4
1953m10			63.377	2.2	3.1
1953m11			63.319	2.9	3.8
1953m12			62.43	4.1	4.5
1954m1			62.206	5.4	6.4
1954m2			63.042	6.3	6.3
1954m3			63.156	6.3	6.5
1954m4			63.383	5.9	6.3
1954m5			63.678	5.5	6.3
1954m6			64.178	5.3	6.7
1954m7			64.202	5.5	6.4
1954m8			64.328	5.1	6.2
1954m9			64.38500000000001	4.9	6.3
1954m10			64.139	4.4	5
1954m11			64.01600000000001	4.5	5.6
1954m12			62.999	4.9	4.6
1955m1			63.023	5.9	5.7
1955m2			62.905	5.8	5.3
1955m3			63.147	5.4	4.8
1955m4			64.023	5.1	4.7
1955m5			64.47	3.9	4.8
1955m6			65.461	4	5.2
1955m7			66.15900000000001	3.7	4.7
1955m8			66.41200000000001	3.3	4.9
1955m9			66.014	2.9	4.8
1955m10			66.422	3	4.4
1955m11			66.376	3.3	4.9
1955m12			65.869	3.8	4.3
1956m1			65.11499999999999	4.6	4.9
1956m2			64.86499999999999	4.9	4.6
1956m3			65.267	4.6	5.1
1956m4			65.712	3.9	4.7
1956m5			66.84399999999999	3.8	5
1956m6			67.886	4.1	6
1956m7			67.92400000000001	3.7	5.9
1956m8			67.55200000000001	3.1	4.8
1956m9			67.104	2.9	4.4
1956m10			67.16500000000001	2.7	4
1956m11			66.90900000000001	3.4	4.8
1956m12			66.279	4	4.1
1957m1			65.18000000000001	4.8	5.2
