date	unemp
1960q1	6.1
1960q2	5.4
1960q3	5.2
1960q4	5.8
1961q1	8
1961q2	7.1
1961q3	6.3
1961q4	5.7
1962q1	6.5
1962q2	5.5
1962q3	5.2
1962q4	5.1
1963q1	6.7
1963q2	5.8
1963q3	5.3
1963q4	5.2
1964q1	6.2
1964q2	5.4
1964q3	4.8
1964q4	4.6
1965q1	5.5
1965q2	4.8
1965q3	4.2
1965q4	3.8
1966q1	4.3
1966q2	4
1966q3	3.6
1966q4	3.4
1967q1	4.1
1967q2	3.8
1967q3	3.9
1967q4	3.7
1968q1	4
1968q2	3.6
1968q3	3.6
1968q4	3.2
1969q1	3.6
1969q2	3.5
1969q3	3.7
1969q4	3.4
1970q1	4.5
1970q2	4.7
1970q3	5.3
1970q4	5.5
1971q1	6.6
1971q2	5.9
1971q3	6.1
1971q4	5.6
1972q1	6.4
1972q2	5.7
1972q3	5.7
1972q4	5
1973q1	5.5
1973q2	4.9
1973q3	4.9
1973q4	4.5
1974q1	5.6
1974q2	5.2
1974q3	5.6
1974q4	6.2
1975q1	9.199999999999999
1975q2	8.800000000000001
1975q3	8.4
1975q4	7.9
1976q1	8.6
1976q2	7.5
1976q3	7.7
1976q4	7.4
1977q1	8.300000000000001
1977q2	7
1977q3	6.9
1977q4	6.3
1978q1	6.9
1978q2	5.9
1978q3	6.1
1978q4	5.6
1979q1	6.4
1979q2	5.7
1979q3	5.9
1979q4	5.7
1980q1	6.9
1980q2	7.3
1980q3	7.7
1980q4	7.2
1981q1	8.1
1981q2	7.4
1981q3	7.4
1981q4	8.1
1982q1	9.699999999999999
1982q2	9.5
1982q3	9.9
1982q4	10.4
1983q1	11.4
1983q2	10.2
1983q3	9.300000000000001
1983q4	8.300000000000001
1984q1	8.6
1984q2	7.5
1984q3	7.4
1984q4	7.1
1985q1	7.9
1985q2	7.3
1985q3	7.2
1985q4	6.8
1986q1	7.6
1986q2	7.2
1986q3	6.9
1986q4	6.6
1987q1	7.2
1987q2	6.3
1987q3	6
1987q4	5.7
1988q1	6.3
1988q2	5.5
1988q3	5.5
1988q4	5.2
1989q1	5.7
1989q2	5.3
1989q3	5.2
1989q4	5.2
1990q1	5.8
1990q2	5.4
1990q3	5.6
1990q4	5.9
1991q1	7.3
1991q2	6.9
1991q3	6.8
1991q4	6.8
1992q1	8.199999999999999
1992q2	7.6
1992q3	7.6
1992q4	7.1
1993q1	7.9
1993q2	7.1
1993q3	6.8
1993q4	6.4
1994q1	7.2
1994q2	6.2
1994q3	6
1994q4	5.3
1995q1	6
1995q2	5.7
1995q3	5.7
1995q4	5.3
1996q1	6.1
1996q2	5.5
1996q3	5.3
1996q4	5
1997q1	5.7
1997q2	5
1997q3	4.9
1997q4	4.4
1998q1	5.1
1998q2	4.4
1998q3	4.5
1998q4	4.1
1999q1	4.7
1999q2	4.2
1999q3	4.3
1999q4	3.8
2000q1	4.4
2000q2	3.9
2000q3	4
2000q4	3.7
2001q1	4.6
2001q2	4.4
2001q3	4.8
2001q4	5.3
2002q1	6.3
2002q2	5.8
2002q3	5.7
2002q4	5.6
2003q1	6.4
2003q2	6.1
2003q3	6.1
2003q4	5.6
2004q1	6.2
2004q2	5.6
2004q3	5.5
2004q4	5.2
2005q1	5.7
2005q2	5.1
2005q3	5
2005q4	4.8
2006q1	5.1
2006q2	4.7
2006q3	4.7
2006q4	4.3
2007q1	4.9
2007q2	4.5
2007q3	4.7
2007q4	4.6
2008q1	5.3
2008q2	5.3
2008q3	6.1
2008q4	6.7
2009q1	8.9
2009q2	9.199999999999999
2009q3	9.699999999999999
2009q4	9.6
2010q1	10.5
2010q2	9.6
2010q3	9.6
2010q4	9.300000000000001
2011q1	9.6
2011q2	9
2011q3	9.199999999999999
2011q4	8.4
2012q1	8.800000000000001
2012q2	8.1
2012q3	8.199999999999999
2012q4	7.6
2013q1	8.199999999999999
2013q2	7.5
2013q3	7.5
2013q4	6.8
2014q1	7.1
2014q2	6.2
2014q3	6.2
2014q4	5.5
2015q1	5.9
2015q2	5.4
2015q3	5.3
2015q4	4.9
2016q1	5.3
2016q2	4.8
2016q3	5
2016q4	4.6
2017q1	4.9
