,Australia Real Exchange Rate,New Zealand Real Exchange Rate,Austria Real Exchange Rate,Belgium Real Exchange Rate,Canada Real Exchange Rate,Denmark Real Exchange Rate, Finland Real Exchange Rate,France Real Exchange Rate,Germany Real Exchange Rate,Italy Real Exchange Rate,Japan Real Exchange Rate,Netherlands Real Exchange Rate,Norway Real Exchange Rate,Spain Real Exchange Rate,Sweden Real Exchange Rate,Switzerland Real Exchange Rate,UK Real Exchange Rate  
Q 1/1973,0.17403415,0.582733597,2.767065372,3.601019098,0.079275137,2.051395561,1.760037104,1.79486116,0.616147056,7.389831675,5.346959971,0.733796805,2.0496368,5.193314682,1.920141998,0.768307806,-0.269837011
Q 2/1973,0.109277539,0.521412211,2.688219996,3.54007673,0.081145619,1.969020979,1.695472837,1.717487757,0.522652963,7.403359046,5.258829494,0.663841538,1.96256172,5.134276476,1.878143768,0.680776943,-0.326097327
Q 3/1973,0.083119485,0.47833919,2.571019736,3.479026221,0.075772035,1.895627141,1.618433006,1.658347472,0.400372434,7.368530368,5.251684682,0.586541383,1.91665816,5.096477079,1.824143382,0.615764614,-0.299797644
Q 4/1973,0.037062507,0.4260219,2.627485494,3.538452394,0.078010516,1.934058069,1.648304865,1.707154286,0.468246729,7.391978996,5.26928992,0.606056762,1.946875057,5.08112141,1.878427826,0.657264085,-0.268537993
Q 1/1974,0.040276258,0.464800056,2.690472297,3.60102057,0.063676307,2.004571497,1.674382725,1.811798205,0.535410402,7.462445067,5.263874305,0.675454363,1.980723896,5.117849188,1.941316366,0.687897957,-0.237992382
Q 2/1974,0.023655078,0.43390699,2.601380973,3.508235499,0.040909323,1.917676973,1.59741249,1.786079653,0.46517298,7.426974124,5.209407941,0.598804824,1.922210657,5.079721144,1.885284122,0.632545235,-0.320223358
Q 3/1974,0.014186332,0.445500218,2.63155654,3.511242065,0.057405931,1.926220285,1.598320804,1.765171851,0.528751038,7.423126929,5.264651279,0.62420999,1.942501527,5.068796501,1.917080971,0.640302835,-0.294423377
Q 4/1974,0.122927201,0.533742376,2.606843869,3.484593682,0.066061487,1.890949254,1.58958725,1.734561386,0.509523604,7.410266789,5.262758837,0.595500162,1.936519863,5.042289882,1.871132602,0.560562199,-0.299369247
Q 1/1975,0.078748362,0.499455874,2.519600689,3.395958355,0.076988993,1.829999755,1.503150338,1.644186182,0.433824457,7.352114839,5.238010278,0.517475837,1.835359516,5.004357937,1.801645487,0.464959383,-0.367242112
Q 2/1975,0.060302462,0.48443079,2.52172904,3.387411054,0.090870195,1.814835223,1.48296741,1.58696169,0.436285816,7.324548011,5.221357236,0.503470126,1.814030373,4.98357734,1.784779087,0.477310508,-0.413358797
Q 3/1975,0.117101737,0.616355101,2.603522672,3.472328586,0.090267744,1.896911656,1.53148277,1.652403091,0.532020892,7.384555135,5.253420875,0.591344448,1.898537264,5.008588276,1.863198407,0.54999148,-0.347046207
Q 4/1975,0.098310398,0.678543364,2.628486993,3.485014704,0.071455706,1.943715387,1.532535957,1.659746104,0.555274156,7.392182666,5.2597684,0.597863137,1.916788078,5.015939657,1.877109728,0.551554001,-0.325208556
Q 1/1976,0.087782938,0.653761826,2.613893177,3.478046311,0.045820241,1.937593652,1.49830765,1.66905987,0.541011792,7.479932678,5.24373792,0.59376796,1.906268649,5.059792462,1.857398373,0.530911836,-0.327442057
Q 2/1976,0.093714183,0.667980016,2.611898911,3.473217294,0.028872791,1.900630285,1.500529909,1.699296611,0.538488357,7.551357644,5.21596041,0.591740208,1.887511039,5.064292111,1.855315635,0.513226026,-0.248242841
Q 3/1976,0.078882679,0.651114501,2.595702013,3.462302577,0.025256907,1.898392232,1.482933806,1.731883699,0.538313042,7.512002352,5.189099219,0.580609088,1.88020947,5.055644688,1.850723245,0.516617271,-0.235433984
Q 4/1976,0.105204685,0.684659019,2.550492333,3.402748198,0.039263047,1.840993167,1.457907311,1.736581699,0.495436853,7.493880459,5.187906227,0.511189014,1.843961104,5.026669826,1.795619315,0.512259624,-0.199463313
Q 1/1977,0.15590982,0.668410135,2.537020686,3.394692487,0.07160901,1.847057942,1.43793393,1.734246096,0.487826548,7.494765181,5.15218781,0.512289587,1.826604147,4.987576649,1.786501514,0.554132091,-0.270812004
Q 2/1977,0.145060888,0.63796787,2.536054187,3.385614242,0.091432041,1.858956391,1.494390284,1.722231352,0.486073621,7.484555379,5.112148956,0.497365512,1.825200559,4.960183092,1.806215849,0.571305439,-0.294697897
Q 3/1977,0.136772486,0.609847612,2.516277359,3.370422668,0.102145567,1.856735723,1.483453209,1.700994395,0.474904512,7.47062954,5.090015513,0.499209427,1.829948395,5.083395524,1.828779212,0.535323925,-0.304386238
Q 4/1977,0.108536328,0.56317459,2.49264431,3.345479983,0.120188612,1.823474801,1.49511772,1.680818536,0.444478696,7.442212419,5.015457383,0.474688849,1.840105858,5.0451727,1.866154804,0.449813548,-0.353010502
Q 1/1978,0.101704096,0.530025408,2.432613105,3.274398741,0.128618994,1.756424553,1.481182315,1.665928311,0.379384353,7.415302759,4.989144776,0.414226178,1.800774223,4.998471858,1.817139844,0.34073286,-0.414728268
Q 2/1978,0.107374564,0.534833025,2.451568491,3.299766823,0.140952028,1.759550239,1.523521677,1.629464626,0.395368687,7.409334886,4.918539281,0.423499971,1.838660769,4.976745644,1.824011786,0.353047734,-0.368106835
Q 3/1978,0.101459889,0.504680738,2.436541227,3.289249505,0.157449825,1.748420765,1.507638265,1.579990873,0.387223203,7.382571469,4.80131374,0.413837859,1.821242808,4.893970062,1.806768002,0.245371567,-0.409952434
Q 4/1978,0.09700404,0.48876895,2.397925916,3.231687846,0.188386154,1.680559188,1.474994317,1.557524575,0.334546918,7.364848784,4.804205421,0.356421102,1.777409574,4.820850562,1.78404973,0.234851654,-0.435566473
Q 1/1979,0.123842731,0.496070402,2.3963124,3.231672527,0.198230656,1.685948732,1.477803684,1.553322303,0.331304306,7.359343874,4.887020956,0.361091005,1.811052642,4.790434957,1.792214685,0.273002792,-0.457565093
Q 2/1979,0.152064805,0.49858984,2.45169629,3.292733252,0.182029313,1.73529626,1.49524354,1.584827025,0.374239045,7.367414285,4.97551082,0.41126741,1.846196256,4.751509661,1.812748828,0.313434812,-0.490806959
Q 3/1979,0.145776024,0.513021118,2.421857335,3.270392652,0.203200776,1.694977415,1.472157535,1.553814424,0.352790025,7.329881358,5.004081976,0.402329774,1.839869482,4.733116532,1.785964381,0.289352732,-0.591921953
Q 4/1979,0.164551649,0.537577034,2.396062159,3.265572105,0.214422045,1.705934395,1.460850707,1.530394414,0.341489126,7.306924314,5.099936439,0.393697887,1.844462836,4.731352646,1.781111947,0.302103745,-0.560195287
Q 1/1980,0.183073276,0.542788923,2.412871018,3.287709362,0.22340753,1.767107552,1.466934876,1.534060301,0.366969907,7.28801071,5.13959371,0.413561966,1.840495551,4.739896942,1.769857652,0.358606797,-0.609552904
Q 2/1980,0.170359417,0.542888002,2.448577234,3.326149009,0.237000149,1.790575934,1.453465905,1.554001596,0.405973783,7.318497343,5.098806172,0.447294838,1.840299911,4.802574183,1.793412466,0.39362074,-0.643209966
Q 3/1980,0.138390069,0.51245447,2.423987398,3.304411055,0.217532861,1.755053866,1.425699706,1.51940288,0.400149207,7.285092297,5.050978067,0.42293629,1.809237719,4.799584458,1.765327445,0.368619736,-0.688410821
Q 4/1980,0.134813403,0.517872077,2.514915927,3.384610125,0.236808749,1.827690535,1.45613088,1.587627379,0.489030533,7.335088251,5.020667591,0.503858479,1.847128803,4.85375278,1.785265499,0.439156072,-0.683466469
Q 1/1981,0.139825269,0.543401276,2.602459373,3.484842536,0.238654761,1.924777948,1.517776564,1.679054289,0.580037209,7.420439065,5.01372261,0.611185008,1.888084695,4.930778488,1.831357311,0.53840931,-0.646391683
Q 2/1981,0.161852269,0.591560254,2.694547016,3.596182949,0.237180438,2.008295953,1.583697855,1.779225743,0.673342874,7.524528918,5.089217908,0.718822301,1.942724127,5.008251901,1.902737248,0.618981517,-0.565542315
Q 3/1981,0.171976578,0.641216578,2.769103039,3.664967322,0.245569265,2.074782314,1.646968976,1.837355889,0.752381158,7.59179999,5.165674689,0.794897468,2.011271368,5.074712411,1.991873643,0.652654675,-0.432682165
Q 4/1981,0.146904157,0.621032371,2.691260133,3.607137241,0.219004518,2.011782292,1.59916476,1.792882909,0.67209486,7.545727934,5.137558838,0.701048429,1.970396696,5.037977827,2.031157069,0.527213578,-0.466936375
Q 1/1982,0.185981027,0.636851349,2.724569704,3.690117402,0.216601323,2.072913021,1.608621795,1.831731102,0.713145097,7.567785524,5.184065239,0.737301872,1.957202349,5.055644741,2.049848195,0.547631779,-0.455453895
Q 2/1982,0.214246166,0.644713064,2.741868615,3.762938767,0.229523158,2.106416606,1.616600503,1.862082091,0.728769111,7.597437197,5.231755384,0.763419109,1.970331722,5.083333933,2.075925817,0.604992194,-0.436383229
Q 3/1982,0.262828924,0.668634909,2.795658076,3.812136927,0.230963369,2.164851805,1.656442085,1.967489712,0.778985135,7.63007801,5.303822853,0.805817579,2.050617075,5.129545097,2.122402682,0.66201022,-0.390687346
Q 4/1982,0.268526044,0.665357927,2.800661011,3.820931833,0.204027593,2.159124918,1.778126444,1.971183581,0.780830355,7.618274097,5.302056313,0.804206446,2.109681872,5.177509348,2.275922287,0.668054688,-0.349146872
Q 1/1983,0.253763789,0.672235691,2.749239631,3.773514356,0.192351092,2.118621453,1.747422542,1.916694401,0.734055966,7.556534471,5.206566142,0.774618621,2.07670642,5.217703842,2.255599206,0.608386358,-0.282844306
Q 2/1983,0.319094681,0.740647317,2.792819695,3.819600763,0.194227432,2.15564543,1.747027444,1.982817579,0.773310605,7.594641697,5.215174784,0.827636532,2.081555253,5.273970799,2.26995761,0.643219044,-0.305257051
Q 3/1983,0.310694075,0.757025593,2.854110344,3.875241713,0.191961771,2.225526925,1.775151301,2.037444503,0.837395647,7.647259833,5.250543289,0.886897501,2.112052722,5.344493311,2.297950771,0.686462486,-0.276702899
Q 4/1983,0.263841423,0.74988699,2.866966656,3.898672878,0.197174176,2.232553818,1.784536989,2.053407238,0.854500487,7.654473178,5.213928347,0.901946238,2.121542236,5.346113915,2.299512395,0.692896208,-0.251593299
Q 1/1984,0.2569815,0.752630756,2.855471683,3.905200133,0.209515394,2.245470164,1.784706708,2.063549595,0.865560393,7.659390469,5.206947512,0.917383351,2.135275546,5.322085949,2.293201778,0.709189467,-0.22347064
Q 2/1984,0.294432488,0.754707655,2.862774234,3.901463451,0.241135943,2.24953201,1.772662603,2.060136245,0.87532656,7.655886973,5.205154616,0.92363955,2.138814107,5.305514263,2.291564612,0.737402092,-0.204561201
Q 3/1984,0.369306144,0.975498121,2.937918295,3.965810877,0.259821721,2.316895997,1.829705217,2.126953597,0.960077177,7.722750044,5.273945156,1.008617927,2.217302711,5.366052896,2.340668276,0.828270611,-0.129410306
Q 4/1984,0.350977371,0.998810077,2.984305363,4.007257994,0.263496047,2.343930242,1.864107887,2.163773802,1.00538119,7.756197518,5.279905163,1.048996284,2.267171187,5.389615392,2.361018824,0.855568074,-0.06982092
